ANÁLISIS LÉXICO - algoritmos/algoritmo_Fernando.php
Contribución de: fzavala2003
Fecha: 21/06/2025 22:59:57
============================================================

ESTADO DEL ANÁLISIS:  ANÁLISIS EXITOSO

TOKENS ENCONTRADOS:
----------------------------------------
  1. Token: TAG_INICIO      | Valor: '<?php' | Línea: 51
  2. Token: DEFINE          | Valor: 'define' | Línea: 53
  3. Token: PAREN_IZQ       | Valor: '(' | Línea: 53
  4. Token: CADENA          | Valor: '"EDAD_MINIMA"' | Línea: 53
  5. Token: COMA            | Valor: ',' | Línea: 53
  6. Token: NUMERO          | Valor: '18' | Línea: 53
  7. Token: PAREN_DER       | Valor: ')' | Línea: 53
  8. Token: PUNTO_COMA      | Valor: ';' | Línea: 53
  9. Token: VARIABLE        | Valor: '$personas' | Línea: 55
 10. Token: ASIGNAR         | Valor: '=' | Línea: 55
 11. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 55
 12. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 56
 13. Token: CADENA          | Valor: '"nombre"' | Línea: 56
 14. Token: ARRAY_ASOCIATIVO | Valor: '=>' | Línea: 56
 15. Token: CADENA          | Valor: '"Ana"' | Línea: 56
 16. Token: COMA            | Valor: ',' | Línea: 56
 17. Token: CADENA          | Valor: '"edad"' | Línea: 56
 18. Token: ARRAY_ASOCIATIVO | Valor: '=>' | Línea: 56
 19. Token: NUMERO          | Valor: '23' | Línea: 56
 20. Token: CORCHETE_DER    | Valor: ']' | Línea: 56
 21. Token: COMA            | Valor: ',' | Línea: 56
 22. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 57
 23. Token: CADENA          | Valor: '"nombre"' | Línea: 57
 24. Token: ARRAY_ASOCIATIVO | Valor: '=>' | Línea: 57
 25. Token: CADENA          | Valor: '"Luis"' | Línea: 57
 26. Token: COMA            | Valor: ',' | Línea: 57
 27. Token: CADENA          | Valor: '"edad"' | Línea: 57
 28. Token: ARRAY_ASOCIATIVO | Valor: '=>' | Línea: 57
 29. Token: NUMERO          | Valor: '30' | Línea: 57
