ANÁLISIS LÉXICO - algoritmos/algoritmo_Nehemias.php
Contribución de: NLindao2004
Fecha: 14/06/2025 16:49:39
==================================================

TOKENS RECONOCIDOS:
Token: MENOR, Valor: '<', Línea: 1
Token: IDENTIFICADOR, Valor: 'php', Línea: 1
Token: DEFINE, Valor: 'define', Línea: 3
Token: PAREN_IZQ, Valor: '(', Línea: 3
Token: CADENA, Valor: '"EDAD_MINIMA"', Línea: 3
Token: COMA, Valor: ',', Línea: 3
Token: NUMERO, Valor: '18', Línea: 3
Token: PAREN_DER, Valor: ')', Línea: 3
Token: PUNTO_COMA, Valor: ';', Línea: 3
Token: VARIABLE, Valor: '$personas', Línea: 5
Token: ASIGNAR, Valor: '=', Línea: 5
Token: CORCHETE_IZQ, Valor: '[', Línea: 5
Token: CORCHETE_IZQ, Valor: '[', Línea: 6
Token: CADENA, Valor: '"nombre"', Línea: 6
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 6
Token: CADENA, Valor: '"Ana"', Línea: 6
Token: COMA, Valor: ',', Línea: 6
Token: CADENA, Valor: '"edad"', Línea: 6
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 6
Token: NUMERO, Valor: '23', Línea: 6
Token: CORCHETE_DER, Valor: ']', Línea: 6
Token: COMA, Valor: ',', Línea: 6
Token: CORCHETE_IZQ, Valor: '[', Línea: 7
Token: CADENA, Valor: '"nombre"', Línea: 7
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 7
Token: CADENA, Valor: '"Luis"', Línea: 7
Token: COMA, Valor: ',', Línea: 7
Token: CADENA, Valor: '"edad"', Línea: 7
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 7
Token: NUMERO, Valor: '30', Línea: 7
Token: CORCHETE_DER, Valor: ']', Línea: 7
Token: COMA, Valor: ',', Línea: 7
Token: CORCHETE_IZQ, Valor: '[', Línea: 8
Token: CADENA, Valor: '"nombre"', Línea: 8
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 8
Token: CADENA, Valor: '"Carla"', Línea: 8
Token: COMA, Valor: ',', Línea: 8
Token: CADENA, Valor: '"edad"', Línea: 8
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 8
Token: NUMERO, Valor: '17', Línea: 8
Token: CORCHETE_DER, Valor: ']', Línea: 8
Token: COMA, Valor: ',', Línea: 8
Token: CORCHETE_IZQ, Valor: '[', Línea: 9
Token: CADENA, Valor: '"nombre"', Línea: 9
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 9
Token: CADENA, Valor: '"Pedro"', Línea: 9
Token: COMA, Valor: ',', Línea: 9
Token: CADENA, Valor: '"edad"', Línea: 9
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 9
Token: NUMERO, Valor: '25', Línea: 9
Token: CORCHETE_DER, Valor: ']', Línea: 9
Token: COMA, Valor: ',', Línea: 9
Token: CORCHETE_IZQ, Valor: '[', Línea: 10
Token: CADENA, Valor: '"nombre"', Línea: 10
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 10
Token: CADENA, Valor: '"Laura"', Línea: 10
Token: COMA, Valor: ',', Línea: 10
Token: CADENA, Valor: '"edad"', Línea: 10
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 10
Token: NUMERO, Valor: '40', Línea: 10
Token: CORCHETE_DER, Valor: ']', Línea: 10
Token: COMA, Valor: ',', Línea: 10
Token: CORCHETE_DER, Valor: ']', Línea: 11
Token: PUNTO_COMA, Valor: ';', Línea: 11
Token: VARIABLE, Valor: '$edades', Línea: 13
Token: ASIGNAR, Valor: '=', Línea: 13
Token: CORCHETE_IZQ, Valor: '[', Línea: 13
Token: CORCHETE_DER, Valor: ']', Línea: 13
Token: PUNTO_COMA, Valor: ';', Línea: 13
Token: VARIABLE, Valor: '$adultos', Línea: 14
Token: ASIGNAR, Valor: '=', Línea: 14
Token: NUMERO, Valor: '0', Línea: 14
Token: PUNTO_COMA, Valor: ';', Línea: 14
Token: VARIABLE, Valor: '$totalEdades', Línea: 15
Token: ASIGNAR, Valor: '=', Línea: 15
Token: NUMERO, Valor: '0', Línea: 15
Token: PUNTO_COMA, Valor: ';', Línea: 15
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 16
Token: ASIGNAR, Valor: '=', Línea: 16
Token: COUNT, Valor: 'count', Línea: 16
Token: PAREN_IZQ, Valor: '(', Línea: 16
Token: VARIABLE, Valor: '$personas', Línea: 16
Token: PAREN_DER, Valor: ')', Línea: 16
Token: PUNTO_COMA, Valor: ';', Línea: 16
Token: FOREACH, Valor: 'foreach', Línea: 19
Token: PAREN_IZQ, Valor: '(', Línea: 19
Token: VARIABLE, Valor: '$personas', Línea: 19
Token: AS, Valor: 'as', Línea: 19
Token: VARIABLE, Valor: '$persona', Línea: 19
Token: PAREN_DER, Valor: ')', Línea: 19
Token: LLAVE_IZQ, Valor: '{', Línea: 19
Token: VARIABLE, Valor: '$edades', Línea: 21
Token: CORCHETE_IZQ, Valor: '[', Línea: 21
Token: CORCHETE_DER, Valor: ']', Línea: 21
Token: ASIGNAR, Valor: '=', Línea: 21
Token: VARIABLE, Valor: '$persona', Línea: 21
Token: CORCHETE_IZQ, Valor: '[', Línea: 21
Token: CADENA, Valor: '"edad"', Línea: 21
Token: CORCHETE_DER, Valor: ']', Línea: 21
Token: PUNTO_COMA, Valor: ';', Línea: 21
Token: VARIABLE, Valor: '$totalEdades', Línea: 23
Token: MAS, Valor: '+', Línea: 23
Token: ASIGNAR, Valor: '=', Línea: 23
Token: VARIABLE, Valor: '$persona', Línea: 23
Token: CORCHETE_IZQ, Valor: '[', Línea: 23
Token: CADENA, Valor: '"edad"', Línea: 23
Token: CORCHETE_DER, Valor: ']', Línea: 23
Token: PUNTO_COMA, Valor: ';', Línea: 23
Token: IF, Valor: 'if', Línea: 26
Token: PAREN_IZQ, Valor: '(', Línea: 26
Token: VARIABLE, Valor: '$persona', Línea: 26
Token: CORCHETE_IZQ, Valor: '[', Línea: 26
Token: CADENA, Valor: '"edad"', Línea: 26
Token: CORCHETE_DER, Valor: ']', Línea: 26
Token: MAYOR_IGUAL, Valor: '>=', Línea: 26
Token: IDENTIFICADOR, Valor: 'EDAD_MINIMA', Línea: 26
Token: PAREN_DER, Valor: ')', Línea: 26
Token: LLAVE_IZQ, Valor: '{', Línea: 26
Token: VARIABLE, Valor: '$adultos', Línea: 27
Token: MAS, Valor: '+', Línea: 27
Token: MAS, Valor: '+', Línea: 27
Token: PUNTO_COMA, Valor: ';', Línea: 27
Token: ECHO, Valor: 'echo', Línea: 28
Token: VARIABLE, Valor: '$persona', Línea: 28
Token: CORCHETE_IZQ, Valor: '[', Línea: 28
Token: CADENA, Valor: '"nombre"', Línea: 28
Token: CORCHETE_DER, Valor: ']', Línea: 28
Token: PUNTO, Valor: '.', Línea: 28
Token: CADENA, Valor: '" es mayor de edad\n"', Línea: 28
Token: PUNTO_COMA, Valor: ';', Línea: 28
Token: LLAVE_DER, Valor: '}', Línea: 29
Token: ELSE, Valor: 'else', Línea: 29
Token: LLAVE_IZQ, Valor: '{', Línea: 29
Token: ECHO, Valor: 'echo', Línea: 30
Token: VARIABLE, Valor: '$persona', Línea: 30
Token: CORCHETE_IZQ, Valor: '[', Línea: 30
Token: CADENA, Valor: '"nombre"', Línea: 30
Token: CORCHETE_DER, Valor: ']', Línea: 30
Token: PUNTO, Valor: '.', Línea: 30
Token: CADENA, Valor: '" es menor de edad\n"', Línea: 30
Token: PUNTO_COMA, Valor: ';', Línea: 30
Token: LLAVE_DER, Valor: '}', Línea: 31
Token: LLAVE_DER, Valor: '}', Línea: 32
Token: IF, Valor: 'if', Línea: 35
Token: PAREN_IZQ, Valor: '(', Línea: 35
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 35
Token: MAYOR, Valor: '>', Línea: 35
Token: NUMERO, Valor: '0', Línea: 35
Token: PAREN_DER, Valor: ')', Línea: 35
Token: LLAVE_IZQ, Valor: '{', Línea: 35
Token: VARIABLE, Valor: '$promedio', Línea: 36
Token: ASIGNAR, Valor: '=', Línea: 36
Token: VARIABLE, Valor: '$totalEdades', Línea: 36
Token: DIVIDIR, Valor: '/', Línea: 36
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 36
Token: PUNTO_COMA, Valor: ';', Línea: 36
Token: LLAVE_DER, Valor: '}', Línea: 37
Token: ELSE, Valor: 'else', Línea: 37
Token: LLAVE_IZQ, Valor: '{', Línea: 37
Token: VARIABLE, Valor: '$promedio', Línea: 38
Token: ASIGNAR, Valor: '=', Línea: 38
Token: NUMERO, Valor: '0', Línea: 38
Token: PUNTO_COMA, Valor: ';', Línea: 38
Token: LLAVE_DER, Valor: '}', Línea: 39
Token: ECHO, Valor: 'echo', Línea: 42
Token: CADENA, Valor: '"\nCantidad de personas: "', Línea: 42
Token: PUNTO, Valor: '.', Línea: 42
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 42
Token: PUNTO_COMA, Valor: ';', Línea: 42
Token: ECHO, Valor: 'echo', Línea: 43
Token: CADENA, Valor: '"\nCantidad de adultos: "', Línea: 43
Token: PUNTO, Valor: '.', Línea: 43
Token: VARIABLE, Valor: '$adultos', Línea: 43
Token: PUNTO_COMA, Valor: ';', Línea: 43
Token: ECHO, Valor: 'echo', Línea: 44
Token: CADENA, Valor: '"\nPromedio de edad: "', Línea: 44
Token: PUNTO, Valor: '.', Línea: 44
Token: VARIABLE, Valor: '$promedio', Línea: 44
Token: PUNTO, Valor: '.', Línea: 44
Token: CADENA, Valor: '"\n"', Línea: 44
Token: PUNTO_COMA, Valor: ';', Línea: 44

ERRORES LÉXICOS:
? en línea 1

Total tokens reconocidos: 181
Total errores léxicos: 1
